CRASH_DT,Latitude,Longitude,cloudiness,temperature,feels_like,pressure,humidity,wind_deg,wind_speed,rain,weather_desc,LOCATION,CRASH_DATE,DOW,Hour,zipcode
1651363200,29.658049291,-82.351962171,100.0,297.58,297.8,1018.0,66.0,90.0,4.12,0.0,overcast clouds,Florida,2022-05-01 00:00:00,6,0,32603.0
1647216000,29.658049291,-80.136645113,,,,,,,,,,Florida,2022-03-14 00:00:00,0,0,
1643587200,29.658049291,-80.160824872,,,,,,,,,,Florida,2022-01-31 00:00:00,0,0,
1652572800,29.658049291,-81.419054813,75.0,298.54,298.83,1003.0,65.0,79.0,1.88,0.0,broken clouds,Florida,2022-05-15 00:00:00,6,0,32145.0
1651708800,29.658049291,-81.38232956,54.0,298.36,299.05,1015.0,81.0,186.0,1.34,0.0,broken clouds,Florida,2022-05-05 00:00:00,3,0,
1651536000,29.658049291,-81.371150024,4.0,297.54,298.25,1017.0,85.0,158.0,7.15,0.0,clear sky,Florida,2022-05-03 00:00:00,1,0,32145.0
1651363200,29.658049291,-80.195284827,,,,,,,,,,Florida,2022-05-01 00:00:00,6,0,
1651104000,29.658049291,-80.100798172,,,,,,,,,,Florida,2022-04-28 00:00:00,3,0,
1647043200,29.658049291,-80.195300935,,,,,,,,,,Florida,2022-03-12 00:00:00,5,0,
1646870400,29.658049291,-80.118780808,,,,,,,,,,Florida,2022-03-10 00:00:00,3,0,
1647734400,29.658049291,-80.143526555,,,,,,,,,,Florida,2022-03-20 00:00:00,6,0,
1647561600,29.658049291,-80.112135554,,,,,,,,,,Florida,2022-03-18 00:00:00,4,0,
1647475200,29.658049291,-80.103098134,,,,,,,,,,Florida,2022-03-17 00:00:00,3,0,
1647388800,29.658049291,-80.100266944,,,,,,,,,,Florida,2022-03-16 00:00:00,2,0,
1644019200,29.658049291,-80.178088507,,,,,,,,,,Florida,2022-02-05 00:00:00,5,0,
1644019200,29.658049291,-80.133420899,,,,,,,,,,Florida,2022-02-05 00:00:00,5,0,
1643932800,29.658049291,-80.150556764,,,,,,,,,,Florida,2022-02-04 00:00:00,4,0,
1643414400,29.658049291,-80.120178436,,,,,,,,,,Florida,2022-01-29 00:00:00,5,0,
1651708800,29.658049291,-80.118335674,,,,,,,,,,Florida,2022-05-05 00:00:00,3,0,
